ENTITETI;POZICIJA;AVMT1;AVMT2;ALVT1;ALVT2;APMT%1;APMT%2;FAEIJOJO1;FAEIJOJO2;RVO1;RVO2;MAG20Y1;MAG20Y2;S20m1;S20m2
DH;B;84;83;190;190;8,5;8;18,8;21,2;58,2;60,2;4,4;4,33;2,98;2,94
RV;C;122;120;217;217;21,8;17,7;15,4;16,3;44,8;47,2;4,97;5,01;3,32;3,3
FK;B;98;96;197;197;14,6;11,6;16,3;18,6;52;52;4,63;4,57;3,11;3,12
HD;B;82;81;190;190;11,3;9,5;15,1;17,5;47,1;49,8;4,54;4,48;3,07;2,9
NG;B;86;86;192;192;12;10,5;17,4;20,1;55,2;58,1;4,84;4,56;3,11;2,98
NÐ;B;96;94;197;197;10,4;8,2;17,1;19,1;59,1;60,1;4,37;4,27;3,04;2,91
AN;B;93;93;198;198;16,5;12,5;17,7;20,3;56,6;58,6;4,43;4,28;2,9;2,89
BÐ;K;100;101;200;200;16,1;14,2;17,3;19,4;54,1;53,3;4,34;4,45;3,26;3,19
MM;K;101;102;205;205;18;17,4;17,8;20,1;48,2;50,2;4,87;4,66;3,18;3,08
MH;K;95;97;205;205;12,4;11,6;18,1;19,1;47,8;50;4,34;4,28;3,09;3,01
KB;C;103;107;207;207;13,6;12,6;15,3;18,1;47,2;49,2;4,81;4,55;3,29;3,18
EB;C;107;108;211;211;19,7;17,7;16,3;18,2;53,7;53,9;4,73;4,88;3,09;3,09
EJ;C;112;114;210;210;20;18,2;16,6;18,1;51,4;52,2;4,73;4,83;3,34;3,27
