Entiteti;MUHCS20m-1;MUHCS20m-2;MUHCS20m-3
1;5,24;4,82;5,01
2;5,56;5,32;5,76
3;4,78;4,84;4,92
4;4,75;4,73;4,58
5;4,92;4,81;5,13
6;5,07;5,13;5,14
7;5,2;4,62;4,85
8;5,59;5,39;5,34
9;4,39;4,38;4,19
10;4,72;4,41;4,44
11;5,62;5,33;5,33
12;5,4;5,26;5,28
13;4,87;5,01;4,74
14;5,35;5,13;4,91
15;5,15;5,37;4,99
16;6,06;5,72;5,81
17;5,52;5,01;5,06
18;5,12;4,98;5,03
19;5,29;5,08;5,07
20;5,04;4,48;4,4
21;6,63;6,35;6,52
22;5,24;5,13;4,99
23;5,8;5,55;5,21
24;4,91;4,92;4,99
25;5,29;5,47;5,56
26;5,02;5,07;5,19
27;4,89;5,02;4,96
28;5,16;5,08;5,1
29;5,08;4,92;5,16
30;4,78;4,9;5,03
31;5,42;5,31;5,56
